@relation '20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.oa_total_d_tourismus_stock numeric
@attribute r.oa_total_d_vergnuegung_stock numeric
@attribute r.oa_total_d_sport_und_erholung_stock numeric
@attribute r.oa_total_d_public_service_stock numeric
@attribute r.oa_total_d_buero_stock numeric
@attribute r.oa_total_d_mobilitaet_stock numeric
@attribute r.oa_total_d_sonstiges_stock numeric
@attribute r.oa_total_d_gastronomie_stock numeric
@attribute r.oa_total_d_religion_stock numeric
@attribute r.oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.oa_total_d_dienstleistung_stock numeric
@attribute r.oa_total_d_waren_stock numeric
@attribute r.oa_total_d_leerstand_stock numeric
@attribute r.oa_gastro_c_fast_food_stock numeric
@attribute r.oa_gastro_c_restaurant_stock numeric
@attribute r.oa_gastro_c_cafe_stock numeric
@attribute r.oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.oa_gastro_t_restaurant_international_stock numeric
@attribute r.oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.oa_gastro_t_eisdiele_stock numeric
@attribute r.oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.oa_gastro_t_kaffee_stock numeric
@attribute r.oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.oa_gastro_t_fastfood_burger_stock numeric
@attribute r.oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.oa_dl_c_friseur_stock numeric
@attribute r.oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.oa_dl_c_massage_stock numeric
@attribute r.oa_dl_c_reisen_stock numeric
@attribute r.oa_dl_c_waescherei_stock numeric
@attribute r.oa_dl_c_beerdigung_stock numeric
@attribute r.oa_pubserv_c_bildung_stock numeric
@attribute r.oa_pubserv_c_sicherheit_stock numeric
@attribute r.oa_pubserv_c_sonstiges_stock numeric
@attribute r.oa_pubserv_c_sozial_stock numeric
@attribute r.oa_pubserv_c_gesundheit_stock numeric
@attribute r.oa_pubserv_c_bank_stock numeric
@attribute r.oa_waren_c_essen_und_trinken_stock numeric
@attribute r.oa_waren_c_kleidung_stock numeric
@attribute r.oa_waren_c_sonstige_waren_stock numeric
@attribute r.oa_waren_c_werkstatt_stock numeric
@attribute r.oa_waren_c_medical_stock numeric
@attribute r.oa_waren_c_print_stock numeric
@attribute r.oa_waren_c_drogerie_stock numeric
@attribute r.oa_waren_c_technik_stock numeric
@attribute r.oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.oa_waren_c_kunst_stock numeric
@attribute r.oa_waren_c_handwerk_stock numeric
@attribute r.oa_waren_c_sonstiger_shop_stock numeric
@attribute r.oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.oa_vergnuegung_t_gallerie_stock numeric
@attribute r.oa_vergnuegung_t_museum_stock numeric
@attribute r.oa_vergnuegung_t_zoo_stock numeric
@attribute r.oa_vergnuegung_t_spielothek_stock numeric
@attribute r.oa_vergnuegung_t_kino_stock numeric
@attribute r.oa_vergnuegung_t_biergarten_stock numeric
@attribute r.oa_vergnuegung_t_theater_stock numeric
@attribute r.oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.oa_vergnuegung_t_bordell_stock numeric
@attribute r.oa_vergnuegung_t_bar_stock numeric
@attribute r.oa_vergnuegung_t_pub_stock numeric
@attribute r.oa_sport_t_schwimmen_stock numeric
@attribute r.oa_sport_t_basketball_stock numeric
@attribute r.oa_sport_t_fussball_stock numeric
@attribute r.oa_sport_t_sportzentrum_stock numeric
@attribute r.oa_sport_t_tischtennis_stock numeric
@attribute r.oa_sport_t_sauna_stock numeric
@attribute r.oa_sport_t_tennis_stock numeric
@attribute r.oa_sport_t_kampfsport_stock numeric
@attribute r.oa_sport_t_fitnesszentrum_stock numeric
@attribute r.oa_sport_t_spielplatz_stock numeric
@attribute r.oa_sport_t_wassersport_stock numeric
@attribute r.oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.oa_sport_t_sonstiges_sport_stock numeric
@attribute r.oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.status_klasse_prj_bi {hoch,niedrig}

@data
1.747328,1.395818,0.591221,0.68411,1.702451,0.886562,2.605618,1.540652,0.290818,0.691897,0.582166,1.177808,3.723689,0.681142,1.136938,1.059486,0.727729,2.485938,0.522457,1.012525,1.916488,0.028016,1.668627,1.268928,0.31367,1.155989,0.624959,1.01676,1.950106,0.273088,1.213145,0.579829,0.524824,0.401763,0.874673,0.915841,1.61465,1.434486,0.658557,0.176679,1.999205,0.549062,4.6836,1.551903,0.268123,0.803958,2.162101,0.441645,2.541365,0.483835,0.224312,0.505929,1.009214,1.397554,0.728243,2.188112,2.232136,0.025161,1.225562,0.659861,1.493267,2.729625,0,0.249366,1.851173,0.800667,1.917029,3.727711,0.289193,1.037253,0.506118,0,0,0.17942,0.578684,1.562235,0.080647,0,0.653238,2.979725,0.45566,0,0.252042,0,2.632594,hoch
1.296111,0.742524,1.220446,0.8411,1.109889,1.217256,2.305248,0.976832,0.247984,0.959556,0.614875,0.97009,3.307831,0.940775,1.058039,0.816925,0.575257,2.205273,0.36749,1.051121,1.879954,0,1.369759,1.647807,0.260769,1.089239,0.386729,0.666054,1.938231,0.698782,2.621574,0.63901,0.329197,0.251407,1.044552,0.937094,1.339215,1.290447,0.81616,0.49364,1.889697,0.438279,2.510029,0.813144,0.137911,0.967061,2.226569,0.576869,2.469165,0.655554,0.393795,0.615067,0.890528,1.746184,1.026566,1.152379,1.643404,0.304388,0.759266,0.449352,0.509795,1.652962,0,0.253391,1.874223,1.321947,1.599898,6.82577,0.336314,0.594199,0.51924,0,0.48556,3.589499,1.730072,0.6287,0,0,0.205021,0.631389,1.164181,0,1.343268,0,1.429334,niedrig
1.846551,0.950888,1.283326,0.804907,2.939397,0.798713,9.415897,1.165176,0.826825,0.977799,0.678549,0.787421,0.824893,0.72988,1.172099,0.716416,0.832575,1.461783,0.996731,1.119912,2.267835,0,1.168552,1.110232,2.458619,1.21695,0.230585,0.887042,1.230295,0.543121,0.746166,0.242908,0.331042,0.589646,1.032796,0.974074,0.473373,1.192063,1.213462,1.594388,0.354317,0.720386,1.115228,4.880628,1.680323,1.065145,1.315763,1.090101,1.081422,0.759138,1.018945,0.81274,1.180999,0.919493,0.763228,1.099258,1.495804,0.636379,0.867055,2.148798,2.269219,2.754211,0,1.054134,1.315515,1.231289,1.527629,3.064018,0.467109,0.62102,0.611509,0,0,2.610348,1.772398,1.308951,0,0,0.380333,0.584735,1.084457,0,0,0,1.318672,hoch
1.087591,1.212254,1.233451,0.915256,2.352893,0.851426,4.124356,1.030343,0.801078,1.055461,0.714595,0.847587,0.780391,1.118391,0.990794,0.729997,0.698507,1.001672,0.65436,1.25117,1.988526,0,0.964176,0.812642,2.299088,1.003046,0.405796,0.968724,0.797395,1.212486,1.67161,0.547189,0.412912,1.153505,1.261282,0.929531,0.950625,0.547495,2.17531,1.129637,0.062701,0.830863,0.678815,1.626496,0.99499,0.935048,1.428526,1.09057,0.923221,0.810819,1.263403,0.746034,1.545747,0.602404,0.793423,0.390812,2.006116,0.928394,0.936164,2.470391,1.174711,0.993172,0,0.771895,1.160515,2.327488,0.9701,3.597464,0.511565,0.604401,0.820235,0,0.519972,7.888247,2.867429,1.242931,0,0,0.583476,0.044492,0.901314,0,0,0,1.244927,hoch
1.729556,1.502013,0.76394,0.71013,2.032986,0.741824,0.637829,1.376258,1.100612,0.882467,0.888082,1.002402,0.119379,0.490201,1.110511,1.740688,0.988715,1.616142,0.97674,1.367827,2.16139,0.036548,1.066038,1.198795,0.533934,1.014476,1.607008,1.858578,1.725554,0.343839,0.906044,0.184958,0.217,0.367326,0.633582,0.962651,1.088644,1.748713,0.22049,1.165148,0,0.785286,2.233218,0.897512,0.793582,0.870073,1.519017,0.913562,1.295503,0.864876,0.612263,1.350089,1.316408,0.570504,0.836195,0.77594,1.627049,0.176268,1.121797,1.53533,1.862789,1.496745,0,0.16399,0.65678,0.302602,1.048619,0.959692,0.056377,1.621884,0.848748,0,0.097704,0,0.713639,1.369488,0.095756,0,2.770472,3.810555,0.826274,0,0.342099,0,0.841264,hoch
1.145788,1.705966,0.88475,0.862817,1.204353,0.51289,0.131923,1.526337,1.632656,0.771279,0.992438,1.303916,1.614361,0.556645,1.138548,1.391463,0.973655,1.632783,1.125858,1.594053,1.470158,0.463042,0.9763,0.839604,0.715342,1.065908,1.520071,1.398279,1.140729,0.389775,0.944042,0.327805,0.185283,0.887538,0.671983,1.02754,1.458323,1.096924,0.286199,1.032507,0.04799,0.98168,0.838801,0.952232,0.433248,0.978006,1.13123,0.883143,1.613611,0.867923,0.65312,0.847338,1.568369,0.260312,0.270059,1.127376,1.317946,0.571667,0.959409,1.138263,1.970292,1.022983,0,0.048406,1.062306,1.14242,1.388507,1.327955,0.15394,1.353105,0.911744,0,0.382559,0,0.581088,1.550341,0.492244,0,2.164614,0.49184,0.808903,0,1.147917,0,0.918123,hoch
0.68092,1.231369,1.387364,0.834175,2.508934,0.762551,0.150258,1.325884,0.245988,0.84809,0.994802,1.087429,1.524178,1.199049,0.958326,0.70202,0.894512,0.435594,0.827907,1.159332,0.879199,1.179857,1.464828,0.752806,1.19626,1.003182,0.56517,1.05266,0.179128,1.530135,0.502684,2.01514,1.320325,1.003936,0.959116,0.889366,0.796887,1.487491,1.918103,0.592446,0,1.365759,0,1.465742,1.621428,0.644289,0.543594,1.093011,0.394139,0.772013,1.869026,0.791254,0.02543,0.481878,1.567554,1.069247,0.811685,1.191099,1.70464,0.349107,1.220262,0,0,5.347775,0,0.594573,0,0.170892,1.770236,0.922972,0.74408,0,0.77693,0,0.288522,1.277166,1.43458,0,0.711409,0,0.191456,0,4.896116,0,1.783151,niedrig
0.478258,1.536722,1.235245,0.996419,1.958704,0.690395,0.016829,1.434992,0.087223,0.755997,1.148258,1.165716,1.192033,1.313261,0.88083,0.850081,0.798603,0.538226,1.062324,1.130479,0.472967,1.30652,1.644808,0.796793,1.714952,0.790076,0.588775,1.321495,0.288785,1.881311,0.810411,1.717759,1.268207,1.074246,1.062124,0.938363,0.857303,1.319305,1.827061,0.516054,0,1.264406,0,1.722094,1.970932,0.6598,0.532965,1.113084,0.380216,0.72833,1.405237,0.913699,0.024214,0.55904,1.801922,1.309996,1.09647,1.401183,1.71456,0.488097,1.394433,0.011192,0,6.533264,0,0.192089,0,0.23893,1.266155,0.688699,0.794958,0,0.682451,0,0.114904,1.777162,2.81136,0,1.127425,0,0.154415,0,3.565395,0,1.533565,niedrig
0.570671,1.6785,1.158758,1.372038,1.249352,0.734943,0.065222,1.382874,0.436961,0.669543,1.260912,1.12946,0.316812,1.282096,0.851364,1.111025,0.750297,0.910269,0.747994,0.91698,0.289574,2.476509,1.248964,1.200409,2.125839,0.668421,0.89101,1.484645,0.68984,2.226563,1.767657,1.051868,1.403372,0.906865,0.805896,1.084038,0.78804,1.414556,1.00412,0.413945,0,1.300983,0.217294,1.878206,1.528563,0.662933,0.529192,1.183928,0.462482,0.644185,1.177897,1.196024,0.21036,0.900484,2.021858,0.838307,1.320286,0.4453,1.439516,1.027713,0.403271,0.039712,0,6.432494,0,0.274442,0,0.438162,0.887587,0.650955,0.889178,0,0.193351,0,0.30456,1.593616,6.002987,0,2.006076,0,0.181827,0,2.438097,0,1.531526,niedrig
0.48826,1.30862,1.058582,1.18146,1.515662,0.827564,0.238487,1.474519,0.12339,0.732445,1.054854,1.118225,1.552139,1.29312,0.892008,0.838785,0.728849,0.764923,1.260092,1.054165,0.28651,1.485233,1.565137,0.935518,1.284029,0.828847,0.803465,1.108876,0.307554,2.061302,0.897545,1.597656,1.426644,1.858207,0.829328,1.02163,0.589974,1.362311,1.153636,1.024976,0,1.192907,0.071258,1.339572,1.526189,0.857865,0.607702,1.143529,0.502481,0.663404,1.23234,1.619096,0.184113,0.753999,1.613441,0.733232,1.771206,0.784025,1.432463,0.799159,0.642117,0.194174,0,5.800396,0,0.69657,0.009393,0.286123,0.988612,0.728457,0.901011,0,1.036913,0,0.431782,1.894859,3.313036,0,1.402485,0,0.219927,0,2.263422,0,1.48419,niedrig
