@relation '20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.prev_oa_total_d_tourismus_stock numeric
@attribute r.prev_oa_total_d_vergnuegung_stock numeric
@attribute r.prev_oa_total_d_sport_und_erholung_stock numeric
@attribute r.prev_oa_total_d_public_service_stock numeric
@attribute r.prev_oa_total_d_buero_stock numeric
@attribute r.prev_oa_total_d_mobilitaet_stock numeric
@attribute r.prev_oa_total_d_sonstiges_stock numeric
@attribute r.prev_oa_total_d_gastronomie_stock numeric
@attribute r.prev_oa_total_d_religion_stock numeric
@attribute r.prev_oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.prev_oa_total_d_dienstleistung_stock numeric
@attribute r.prev_oa_total_d_waren_stock numeric
@attribute r.prev_oa_total_d_leerstand_stock numeric
@attribute r.prev_oa_gastro_c_fast_food_stock numeric
@attribute r.prev_oa_gastro_c_restaurant_stock numeric
@attribute r.prev_oa_gastro_c_cafe_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_international_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.prev_oa_gastro_t_eisdiele_stock numeric
@attribute r.prev_oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.prev_oa_gastro_t_kaffee_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_burger_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.prev_oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.prev_oa_dl_c_friseur_stock numeric
@attribute r.prev_oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.prev_oa_dl_c_massage_stock numeric
@attribute r.prev_oa_dl_c_reisen_stock numeric
@attribute r.prev_oa_dl_c_waescherei_stock numeric
@attribute r.prev_oa_dl_c_beerdigung_stock numeric
@attribute r.prev_oa_pubserv_c_bildung_stock numeric
@attribute r.prev_oa_pubserv_c_sicherheit_stock numeric
@attribute r.prev_oa_pubserv_c_sonstiges_stock numeric
@attribute r.prev_oa_pubserv_c_sozial_stock numeric
@attribute r.prev_oa_pubserv_c_gesundheit_stock numeric
@attribute r.prev_oa_pubserv_c_bank_stock numeric
@attribute r.prev_oa_waren_c_essen_und_trinken_stock numeric
@attribute r.prev_oa_waren_c_kleidung_stock numeric
@attribute r.prev_oa_waren_c_sonstige_waren_stock numeric
@attribute r.prev_oa_waren_c_werkstatt_stock numeric
@attribute r.prev_oa_waren_c_medical_stock numeric
@attribute r.prev_oa_waren_c_print_stock numeric
@attribute r.prev_oa_waren_c_drogerie_stock numeric
@attribute r.prev_oa_waren_c_technik_stock numeric
@attribute r.prev_oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.prev_oa_waren_c_kunst_stock numeric
@attribute r.prev_oa_waren_c_handwerk_stock numeric
@attribute r.prev_oa_waren_c_sonstiger_shop_stock numeric
@attribute r.prev_oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.prev_oa_vergnuegung_t_gallerie_stock numeric
@attribute r.prev_oa_vergnuegung_t_museum_stock numeric
@attribute r.prev_oa_vergnuegung_t_zoo_stock numeric
@attribute r.prev_oa_vergnuegung_t_spielothek_stock numeric
@attribute r.prev_oa_vergnuegung_t_kino_stock numeric
@attribute r.prev_oa_vergnuegung_t_biergarten_stock numeric
@attribute r.prev_oa_vergnuegung_t_theater_stock numeric
@attribute r.prev_oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.prev_oa_vergnuegung_t_bordell_stock numeric
@attribute r.prev_oa_vergnuegung_t_bar_stock numeric
@attribute r.prev_oa_vergnuegung_t_pub_stock numeric
@attribute r.prev_oa_sport_t_schwimmen_stock numeric
@attribute r.prev_oa_sport_t_basketball_stock numeric
@attribute r.prev_oa_sport_t_fussball_stock numeric
@attribute r.prev_oa_sport_t_sportzentrum_stock numeric
@attribute r.prev_oa_sport_t_tischtennis_stock numeric
@attribute r.prev_oa_sport_t_sauna_stock numeric
@attribute r.prev_oa_sport_t_tennis_stock numeric
@attribute r.prev_oa_sport_t_kampfsport_stock numeric
@attribute r.prev_oa_sport_t_fitnesszentrum_stock numeric
@attribute r.prev_oa_sport_t_spielplatz_stock numeric
@attribute r.prev_oa_sport_t_wassersport_stock numeric
@attribute r.prev_oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_sport_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.dynamik_klasse_prj_bi {negativ,positiv}

@data
1.600402,1.355777,0.450769,0.663105,2.110443,1.106337,2.237744,1.574299,0.549627,0.725519,0.671084,0.995728,0.543662,0.723498,1.105386,1.19461,0.603273,2.406734,0.548978,0.85471,1.742455,0.027812,2.117097,0.905201,0.182688,1.209845,1.016673,1.166644,1.567452,0.310098,1.293845,0.596472,0.647699,0.467342,0.9161,0.907387,2.561619,1.654354,0.577493,0.10925,0,0.500057,3.828758,1.807186,0.45083,0.808599,2.359552,0.530033,2.468799,0.507467,0.237253,0.907611,1.198566,1.599398,1.148542,2.568396,1.334457,0,1.127628,0.713013,0.219239,2.36528,0,0,1.464528,0.803105,1.950636,3.919095,0.091282,1.186077,0.532289,0,0,0,0.166946,2.04164,0.117142,0,0.787894,0,0.780493,0,0.009024,0,2.182868,positiv
1.595758,0.935015,1.44596,0.99483,1.274062,1.279735,0.990473,1.118444,0.422553,0.91211,0.761607,0.779288,2.003615,0.931771,1.058485,0.827629,0.391699,2.252604,0.460073,0.931825,1.671034,0,1.883137,1.295813,0.154124,1.200684,0.712849,0.830618,1.029073,0.699755,3.275992,0.731601,0.488671,0.574177,0.873356,0.971216,2.058348,1.132697,0.964459,0.317125,0,0.624112,1.838114,0.758066,0.14336,1.164194,1.746629,0.866575,1.418001,0.889019,0.565926,0.961897,1.092856,2.70889,1.394368,1.557776,2.187188,0,0.650421,0.425864,0,3.002811,0,0,1.164075,1.162984,1.280794,6.151204,0.123507,0.769497,0.485897,0,0.542253,1.283826,0.835129,0.556378,0,0,0.180946,0,1.29794,0,1.287801,0,1.624366,negativ
1.922351,0.98196,1.013209,0.856194,3.135786,0.904771,7.978739,1.147837,0.341568,0.925256,0.775081,0.791563,0.100983,0.74916,1.171485,0.661677,0.661002,1.102956,1.653866,1.284048,1.751034,0,1.670202,0.97157,2.135436,1.296784,0.433152,0.549823,1.281576,0.58713,0.767721,0.261233,0.420425,0.489671,1.063953,1.013987,0.703627,1.46027,0.967425,0.730495,0,0.744895,0.864903,4.735155,0.954705,1.304043,1.255089,0.982767,0.937429,0.913217,1.097895,1.154478,0.990454,0.874407,1.019798,1.336341,1.33147,0.743465,1.106415,3.008949,0,2.184737,0,2.248771,1.155811,1.258055,0.820995,3.012595,0.601213,0.746001,0.641198,0,0,0,1.084738,1.544362,0,0,0.479763,0,1.267468,0,0,0,0.900907,negativ
1.310718,1.380699,1.026837,0.95282,2.166118,0.681171,2.461257,1.036875,0.60789,1.056223,0.781031,0.858738,0.87664,1.123979,1.010136,0.523331,0.48381,0.723167,1.053872,1.459552,1.662996,0,1.464348,0.88769,2.333305,1.099162,0.377632,0.533853,0.766548,1.183119,1.661258,0.706038,0.435526,1.166433,1.279811,1.002862,1.365658,0.319948,1.978037,0.593601,0,0.848352,0.515207,1.512836,0.305594,1.191654,1.220872,1.00622,0.936712,0.750566,1.450715,0.74906,1.120401,0.710912,0.896429,0.468176,1.946931,0.579477,1.253064,3.318428,0,0.846054,0,1.518436,0.983249,2.353321,0.642069,3.241585,0.522133,0.803495,0.726954,0,1.507755,0,3.397888,1.650197,0,0,0.668552,0,0.888791,0,0,0,1.02781,positiv
1.911772,1.408509,0.815176,0.691525,2.512162,1.079998,0.618713,1.258916,1.733378,0.741155,0.758152,0.997784,0.426459,0.592788,1.108729,1.601962,0.981927,1.737281,1.278677,0.800721,3.223718,0.046326,0.890787,1.689895,0.605269,0.94846,1.275122,1.669932,2.065146,0.529588,0.526383,0.909223,0.562363,0.16319,0.603851,1.080417,1.065534,2.024608,0.114315,0.142306,0,0.962476,2.070322,0.816076,1.539719,0.925141,1.065182,0.914709,1.406323,1.024546,0.533179,1.222602,0.712583,0.613463,0.235912,0.804253,3.40734,0.13461,1.185599,1.299563,0.010228,1.458067,0,0,0.635342,0.359334,1.384773,0.672334,0.066851,1.493424,1.017909,3.799023,0,0,0.632766,1.321228,0.113589,0,2.728943,0,1.038138,0,0.291395,0,0.32363,negativ
0.915868,1.581414,0.862686,0.749485,1.27298,0.524993,0.005649,1.444023,1.367643,0.772796,0.880204,1.248655,1.45842,0.56057,1.171513,1.28195,1.057615,1.742159,1.159949,1.518894,1.670731,0.511149,0.878712,1.007758,0.439296,1.083837,1.397714,1.226495,1.176181,0.471811,0.239899,0.633412,0.260189,0.602043,0.69984,1.084123,1.507544,1.090785,0.339305,0.720827,0.082395,0.994659,1.43178,0.921463,0.881162,0.870906,1.082465,0.849709,1.700707,0.902372,0.647591,1.043434,1.432764,0.276848,0.175745,1.463373,1.97021,0.243771,0.969959,1.326796,0.615181,0.767708,0,0.014865,1.215761,1.236125,1.384285,1.021423,0.120506,1.307812,1.012709,0.722063,0.47001,0,1.028343,1.614976,0.575583,0,2.101747,0,0.840797,0,0.87622,0,0.741129,negativ
0.8114,1.039099,1.451511,0.877538,1.706563,0.597593,0.156391,1.338232,0.291085,0.911935,0.959935,1.058775,2.096569,1.250311,0.94354,0.559577,0.799469,0.467666,0.894955,1.052343,1.714038,1.132582,1.267722,0.700272,1.179958,0.99051,0.509022,0.794247,0.214859,1.521367,0.402128,2.218245,1.357472,2.282352,0.846578,0.918807,0.3364,1.061485,2.356659,0.681826,0,1.293704,0,1.067028,1.230091,0.724484,0.621983,1.038912,0.385844,0.765748,2.205333,0.614525,0,0.54529,1.644389,0.873458,1.057271,0.732442,1.729587,0,0,0,0,9.880226,0,0.714851,0.935361,0.21776,1.48484,1.005882,0.715106,0,0.89983,0,0,1.386611,1.581327,0,0.651162,0,0.14948,0,4.868074,0,2.327705,negativ
0.581404,1.259252,1.294223,1.053948,1.081632,0.562462,0.017956,1.473251,0.616774,0.804596,1.10103,1.067412,1.680815,1.442172,0.830523,0.695221,0.665607,0.582337,1.157267,1.057335,0.910871,1.37805,1.184823,0.593825,1.683139,0.759907,0.529668,1.04231,0.349076,1.839813,0.653329,2.230429,1.321236,2.752411,1.037901,0.981283,0.106604,1.090329,2.193039,0.559507,0,1.22755,0,1.127241,1.429218,0.780213,0.636492,1.096002,0.439995,0.708328,1.850364,0.630074,0.011144,0.762667,1.748759,1.203529,1.619804,0.930241,1.480143,0,0,0,0,12.508026,0,0.243794,1.145731,0.321393,0.921494,0.673708,0.793761,0,0.809063,0,0,2.059768,3.172093,0,1.083976,0,0.091898,0,3.652463,0,1.785098,negativ
0.540679,1.378073,1.20677,1.50902,0.58347,0.605489,0.07055,1.387886,1.752878,0.706922,1.323723,0.977321,0.452903,1.381759,0.826233,0.923086,0.660272,1.061743,0.845089,1.0549,0.419011,2.709047,1.320022,0.782442,1.999832,0.582873,0.717851,1.153726,0.86481,2.324756,1.408371,1.595186,1.538182,1.798325,0.776702,1.152801,0,1.573777,0.72471,0.417853,0,1.244258,0.162875,1.656173,0.890378,0.721928,0.623929,1.242892,0.432105,0.711557,1.242443,0.72801,0.219773,1.317992,1.121875,1.074988,2.435969,1.486303,1.09546,0.183473,0,0,0,11.622889,0,0.35246,1.238351,0.596401,0.943388,0.646931,0.794297,0,0.233804,0,0.411195,1.889273,6.908637,0,2.177594,0,0.064884,0,2.635762,0,1.57171,positiv
0.530736,1.164716,1.068717,1.265027,0.863771,0.640541,0.250957,1.52241,0.775112,0.728122,1.066623,1.087215,2.205457,1.32672,0.876113,0.765712,0.654934,0.876612,1.375501,1.127154,0.462144,1.569733,1.623475,0.745605,1.294344,0.769929,0.798328,0.945728,0.372519,1.871783,0.64342,1.796175,1.578978,3.226212,0.766821,1.064442,0,1.241415,1.174964,1.016132,0,1.200349,0.0609,1.143013,0.812323,0.878128,0.672334,1.15156,0.486032,0.779007,1.458419,1.279027,0.193455,0.97623,1.029559,0.894767,2.281676,1.016157,1.228254,0.279457,0,0.010271,0,10.220536,0,0.820224,1.948899,0.360532,0.762927,0.763088,0.775026,0,1.285604,0,0.597721,2.111353,3.909393,0,1.561323,0,0.173818,0,2.532291,0,1.434497,positiv
