@relation '20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.prev_oa_total_d_tourismus_stock numeric
@attribute r.prev_oa_total_d_vergnuegung_stock numeric
@attribute r.prev_oa_total_d_sport_und_erholung_stock numeric
@attribute r.prev_oa_total_d_public_service_stock numeric
@attribute r.prev_oa_total_d_buero_stock numeric
@attribute r.prev_oa_total_d_mobilitaet_stock numeric
@attribute r.prev_oa_total_d_sonstiges_stock numeric
@attribute r.prev_oa_total_d_gastronomie_stock numeric
@attribute r.prev_oa_total_d_religion_stock numeric
@attribute r.prev_oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.prev_oa_total_d_dienstleistung_stock numeric
@attribute r.prev_oa_total_d_waren_stock numeric
@attribute r.prev_oa_total_d_leerstand_stock numeric
@attribute r.prev_oa_gastro_c_fast_food_stock numeric
@attribute r.prev_oa_gastro_c_restaurant_stock numeric
@attribute r.prev_oa_gastro_c_cafe_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_international_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.prev_oa_gastro_t_eisdiele_stock numeric
@attribute r.prev_oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.prev_oa_gastro_t_kaffee_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_burger_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.prev_oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.prev_oa_dl_c_friseur_stock numeric
@attribute r.prev_oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.prev_oa_dl_c_massage_stock numeric
@attribute r.prev_oa_dl_c_reisen_stock numeric
@attribute r.prev_oa_dl_c_waescherei_stock numeric
@attribute r.prev_oa_dl_c_beerdigung_stock numeric
@attribute r.prev_oa_pubserv_c_bildung_stock numeric
@attribute r.prev_oa_pubserv_c_sicherheit_stock numeric
@attribute r.prev_oa_pubserv_c_sonstiges_stock numeric
@attribute r.prev_oa_pubserv_c_sozial_stock numeric
@attribute r.prev_oa_pubserv_c_gesundheit_stock numeric
@attribute r.prev_oa_pubserv_c_bank_stock numeric
@attribute r.prev_oa_waren_c_essen_und_trinken_stock numeric
@attribute r.prev_oa_waren_c_kleidung_stock numeric
@attribute r.prev_oa_waren_c_sonstige_waren_stock numeric
@attribute r.prev_oa_waren_c_werkstatt_stock numeric
@attribute r.prev_oa_waren_c_medical_stock numeric
@attribute r.prev_oa_waren_c_print_stock numeric
@attribute r.prev_oa_waren_c_drogerie_stock numeric
@attribute r.prev_oa_waren_c_technik_stock numeric
@attribute r.prev_oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.prev_oa_waren_c_kunst_stock numeric
@attribute r.prev_oa_waren_c_handwerk_stock numeric
@attribute r.prev_oa_waren_c_sonstiger_shop_stock numeric
@attribute r.prev_oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.prev_oa_vergnuegung_t_gallerie_stock numeric
@attribute r.prev_oa_vergnuegung_t_museum_stock numeric
@attribute r.prev_oa_vergnuegung_t_zoo_stock numeric
@attribute r.prev_oa_vergnuegung_t_spielothek_stock numeric
@attribute r.prev_oa_vergnuegung_t_kino_stock numeric
@attribute r.prev_oa_vergnuegung_t_biergarten_stock numeric
@attribute r.prev_oa_vergnuegung_t_theater_stock numeric
@attribute r.prev_oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.prev_oa_vergnuegung_t_bordell_stock numeric
@attribute r.prev_oa_vergnuegung_t_bar_stock numeric
@attribute r.prev_oa_vergnuegung_t_pub_stock numeric
@attribute r.prev_oa_sport_t_schwimmen_stock numeric
@attribute r.prev_oa_sport_t_basketball_stock numeric
@attribute r.prev_oa_sport_t_fussball_stock numeric
@attribute r.prev_oa_sport_t_sportzentrum_stock numeric
@attribute r.prev_oa_sport_t_tischtennis_stock numeric
@attribute r.prev_oa_sport_t_sauna_stock numeric
@attribute r.prev_oa_sport_t_tennis_stock numeric
@attribute r.prev_oa_sport_t_kampfsport_stock numeric
@attribute r.prev_oa_sport_t_fitnesszentrum_stock numeric
@attribute r.prev_oa_sport_t_spielplatz_stock numeric
@attribute r.prev_oa_sport_t_wassersport_stock numeric
@attribute r.prev_oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_sport_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.dynamik_klasse_prj_bi {positiv,negativ}

@data
0.95922,1.232744,1.258916,1.046938,4.187451,1.052367,0,0.98953,1.108643,0.858714,0.674695,0.905855,0,1.053886,1.008193,0.750272,0.566844,1.391129,0.57564,0.715438,0,0,1.620733,1.245787,2.568238,1.260642,0.456108,0.999614,0.878608,0.979094,0,0.456108,2.126567,0,1.309765,0.662428,1.093006,0.789785,0.920426,4.080556,0,0.982208,0.962084,0.852875,0.651991,1.139461,0.922701,1.206958,0.393008,1.243333,1.060207,0.364711,1.27077,0.856129,0.442611,0.599854,1.381481,2.197055,0.8939,2.271186,0,2.977778,0,4.701754,1,0,1.732759,1.072,0.736264,1.232184,0.431794,0,0,0,0,1.252045,2.733631,0,0.683408,0,1.289389,0,0,0,1.373972,positiv
0.568484,1.16193,0.867912,1.140618,0.98718,0.566565,0,1.245188,1.783394,1.022833,0.836611,1.096936,0,0.707299,1.110762,1.258832,1.086937,0.622423,1.839673,1.37187,1.212512,1.159794,0.776949,1.791622,2.462331,0.954202,1.603431,0.79866,1.403961,0.547586,0.476344,0.291533,2.208779,0.296392,0.646904,1.074207,0.354488,0.768439,0.89555,1.323423,1.588108,1.261708,0.355132,0.472229,0.722003,0.717505,0.885545,0.975945,0.88753,1.101107,1.408393,0.847852,2.004629,0.426485,0.440977,1.394494,1.376384,2.188948,0.69269,1.453559,0,0.635259,0,0.50152,1.28,0,1.478621,0.914773,0.942418,0.985747,1.074687,1.159722,0,0,2.733631,1.606791,3.189236,0,3.587891,0,0.398194,0.643207,2.126157,0,0.400742,positiv
0.247062,2.35654,0.733431,1.071267,2.119897,0.235351,1.548635,1.470979,1.356355,0.785932,0.779589,1.256025,0,1.069741,0.975322,0.926221,0.388765,0.610619,0.947513,1.439317,1.248994,0,2.223129,0.341765,3.522805,1.092125,0.750762,0.822691,1.446204,1.343005,1.635588,0.500508,0.875092,0,1.175943,0.654635,3.086134,0,2.59885,1.440196,0,1.096087,0,1.359655,0,0.908266,0.956132,0.833449,1.34085,0.487582,1.14336,0.858144,1.495024,0.251803,1.301796,0.352855,2.437908,0,1.69432,4.360678,0,0.952889,0,1.504561,1.28,0.96904,0.985747,1.829547,0,0.854314,0.92116,0,7.065385,0,0,3.856298,0,0,1.913542,0,0.42474,0,0,0,0.48089,positiv
0.494433,2.263693,0.924701,1.118543,0.848489,0.448831,0,1.484924,0,0.866671,0.605706,1.064592,0,1.169258,0.900391,1.101715,0.462425,0.181579,0.751361,1.089474,0.495215,0,1.586612,3.65868,1.676113,0.95264,0.595341,1.304759,1.720222,1.437722,1.459117,0.893011,1.734831,0.605263,1.010211,1.156238,0,0.861584,0,2.225758,0,1.440571,0,0,1.792975,0.552974,0.676647,1.31191,0.458509,0.690741,0.883506,0,1.588463,0.356721,0.368842,1.499635,0,0.91544,1.241527,1.816949,1.880702,0,0,0,0.533333,0.60565,0.616092,2.5728,0.196337,0.903602,1.189832,2.650794,0,0,1.24966,2.33715,0,0,0,0,0.910157,0,1.388511,0,0.457991,positiv
2.651904,1.138253,2.140327,1.062381,0.474051,0.473661,0,0.969354,2.729771,1.0545,0.738345,0.644354,3.987606,0.353194,1.244824,1.571515,1.187308,1.398649,1.929171,1.198842,0,1.52027,5.431645,0,0,1.111803,1.528578,0.837514,2.944523,0.410161,0,0.764289,0.890859,0,0.199522,0.596185,1.639509,2.369355,1.380639,1.530208,0,0.953319,0,2.069475,0,1.192688,0.746302,1.513743,0,1.912821,0.815544,0.841641,0,0,0,0,0,0,0.687615,2.018832,0,2.646914,0,0,5.333333,2.018832,3.08046,0.952889,0,1.095275,0.383817,0,2.43634,7.452333,0,0.483548,0,0,0.659842,0,0.805541,0,5.530104,0,0.331648,positiv
1.608777,1.110679,0.955166,1.213164,1.533776,1.159045,0,0.871871,0.84115,0.925065,0.68254,0.870569,3.686218,1.996528,0.594008,0.323034,0,1.4375,0,0.821429,0,0,0,3.218284,0,0.571343,0,0,1.513158,2.529326,2.566964,4.713115,0.915605,1.597222,1.230385,1.391098,0,0,1.380639,0,0,0.771734,3.779617,0,2.561393,1.053283,1.087469,1.201434,0.248215,1.308772,0.837005,0.57586,0.50162,2.027675,0.698859,0.947138,0,3.469034,0.940947,0,5.939058,0,0,1.979686,0,1.912578,1.945554,2.708211,0,2.075257,0.363616,0,0,0,5.623469,0.500818,0,0,1.366815,0,0.910157,0,0,0,2.060957,negativ
0.672278,1.74416,0.778335,0.86183,0.961405,0.881505,0,1.211426,0.738152,0.776876,1.796891,1.152655,0,1.432915,0.836902,0.612064,0.770709,1.210526,1.878403,1.296992,0,0,3.525805,0.677533,0,0.505188,0.992235,0,0.955679,1.064979,1.621241,0.992235,1.156554,1.008772,1.813199,0.861156,0.546503,2.764247,0.920426,0.510069,0,0.82621,0,0,0,1.517967,1.044823,1.235637,0.575802,0.325291,1.294438,1.145023,1.662345,1.343924,0.926394,1.255508,0,2.299243,0.727593,0,3.318885,0.700654,0,0,0,0,1.087221,0.504471,1.732385,0.869777,1.219182,0,0,0,2.018681,2.157369,0,0,1.471955,0,0.816807,0,1.12149,0,0.739831,positiv
0.794935,2.003562,0.686502,0.681197,1.240159,0.421146,0,1.57638,0.79348,0.78819,1.073098,1.301484,2.318206,0.94697,0.945645,1.573034,0.721562,0.416667,1.551724,0.785714,1.363636,0,0.728155,0.373134,0.769231,1.27186,1.229508,1.796407,1.842105,0.659824,1.785714,0.68306,1.11465,0.555556,1.034237,1.073133,0.327902,1.658548,0.276128,0.612083,2.938,0.576228,0,1.250883,1.912507,1.130524,1.623953,1.089225,1.331295,0.688192,0.997611,0.484487,0.738547,0.284323,0.293985,1.195281,1.835178,1.094474,0.989557,0,4.140995,0,0,0,1.174312,0.333385,0,1.573578,0.756528,1.582622,1.014121,0,2.207933,0,0.820089,1.752863,2.391927,0,2.391927,8.200893,0.265462,0,4.100446,0,0.901669,positiv
4.608227,0,1.795503,0.868755,0.41188,0.72625,0,0.273154,1.581179,1.215374,0.320756,0.890015,0,1.633523,0.274158,3.876404,1.464346,0,0,0,0,0,0,0,0,0,4.713115,0,9.078947,0,0,0,0,0,3.691155,1.589827,0,0,0,0,0,0.810321,6.614329,2.931757,0,0.691217,1.268713,0.914105,1.14099,0.601613,0,5.294194,0.922333,2.485537,2.569997,0,0,0,0.57671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668621,0,1.041383,0,1.373972,positiv
1.421941,0.361675,1.097508,1.608409,0.27113,1.3386,0,0.689273,1.040848,0.836974,1.583591,0.944957,0,1.278409,1.001271,0,1.910017,1.5,0,0.642857,0,0,4.368932,0,0,0.715421,0,0,0,2.639296,0,2.459016,0,0,0.96291,1.165873,2.623214,0,0,0.816111,0,1.104438,0,1.042402,0.796878,1.392674,0.225549,0.850118,0.848897,1.119,1.272248,1.96944,1.143693,0.770516,0,1.079737,2.486667,0,1.43024,0,0,0,0,0,6.4,0,0,0,0,0,1.84232,0,0,0,0,0,0,0,1.471955,0,1.306892,0,4.485958,0,0,negativ
