fromAreaName,fromAreaCentroidLat,fromAreaCentroidLon,toAreaName,toAreaCentroidLat,toAreaCentroidLon,distance,dist_weighted
0102,52.52735,13.342625,0303,52.591265,13.466195,10.967567351777484,0.0
0102,52.52735,13.342625,0304,52.57928,13.39188,6.665778654652317,0.0
0102,52.52735,13.342625,0305,52.55295,13.46232,8.580814378111674,0.0
0102,52.52735,13.342625,0306,52.539255,13.43448,6.352521014084456,0.0
0102,52.52735,13.342625,0307,52.534865,13.423235,5.516382789758895,0.0
0102,52.52735,13.342625,0401,52.53923,13.29955,3.199067391164093,0.0
0102,52.52735,13.342625,0402,52.509625,13.247195,6.751154590788715,0.0
0102,52.52735,13.342625,0403,52.513675,13.31129,2.609037480926109,0.03345661936574343
0102,52.52735,13.342625,0404,52.48362,13.288505,6.087850353668959,0.0
0102,52.52735,13.342625,0405,52.48926,13.316955,4.577877673982411,0.0
0102,52.52735,13.342625,0406,52.485855,13.229945,8.913455127426154,0.0
0102,52.52735,13.342625,0501,52.56154,13.187695,11.145241093280484,0.0
0102,52.52735,13.342625,0502,52.524285,13.17004,11.680591513549487,0.0
0102,52.52735,13.342625,0503,52.54521,13.2452,6.882132794401766,0.0
0102,52.52735,13.342625,0504,52.470615,13.1505,14.45479303915702,0.0
0102,52.52735,13.342625,0601,52.455195,13.33326,8.048284553045075,0.0
0102,52.52735,13.342625,0602,52.42235,13.33376,11.690895895890979,0.0
0102,52.52735,13.342625,0603,52.43167,13.276485,11.543575402668973,0.0
0102,52.52735,13.342625,0604,52.42953,13.199145,14.585361288878543,0.0
0102,52.52735,13.342625,0701,52.496345,13.356705,3.576846541642723,0.0
0102,52.52735,13.342625,0702,52.482685,13.35553,5.042743124621591,0.0
0102,52.52735,13.342625,0703,52.467845,13.34195,6.616811887592045,0.0
0102,52.52735,13.342625,0704,52.46499,13.391135,7.672451509109191,0.0
0102,52.52735,13.342625,0705,52.43506,13.38959,10.743730416547308,0.0
0102,52.52735,13.342625,0706,52.40867,13.36953,13.321873816354255,0.0
0102,52.52735,13.342625,0707,52.397135,13.403635,15.05767012571773,0.0
0102,52.52735,13.342625,0801,52.47731,13.442305,8.745489272723521,0.0
0102,52.52735,13.342625,0802,52.43766,13.43909,11.92202756707559,0.0
0102,52.52735,13.342625,0803,52.42814,13.465255,13.80844006904171,0.0
0102,52.52735,13.342625,0804,52.420225,13.4878,15.445910866204851,0.0
0102,52.52735,13.342625,0901,52.462155,13.48516,12.069223517207018,0.0
0102,52.52735,13.342625,0902,52.45407,13.5341,15.312037947536988,0.0
0102,52.52735,13.342625,0903,52.38331,13.612855,24.327178172273413,0.0
0102,52.52735,13.342625,0904,52.41499,13.65442,24.538397287547976,0.0
0102,52.52735,13.342625,0905,52.44875,13.65179,22.684658352599012,0.0
0102,52.52735,13.342625,1001,52.54207,13.55233,14.27809260334704,0.0
0102,52.52735,13.342625,1002,52.531315,13.605685,17.800410687283193,0.0
0102,52.52735,13.342625,1003,52.504185,13.559675,14.911259743164281,0.0
0102,52.52735,13.342625,1004,52.500525,13.61078,18.389482859864547,0.0
0102,52.52735,13.342625,1101,52.575885,13.523585,13.372407221910168,0.0
0102,52.52735,13.342625,1102,52.548635,13.49964,10.879893348730771,0.0
0102,52.52735,13.342625,1103,52.521755,13.48782,9.84261163926934,0.0
0102,52.52735,13.342625,1104,52.50277,13.505785,11.373980488302104,0.0
0102,52.52735,13.342625,1105,52.4853,13.510585,12.291819545065398,0.0
